intervid,treatment,resp_female,resp_primary,resp_secondary,resp_tertiary,resp_noschool,resp_age,resp_married,resp_emp,hhmem,hhmem_adults,hhmem_children,hhmem_elderly,hhmem_employed,hhmem_unemployed,hhmem_retired,hhmem_school,total_exp,food_exp,nondur_exp,dur_exp,temp_exp,savings_avg,followup
72,1,0,0,1,0,0,38,0,1,5,4,1,0,1,1,0,3,40899,16640,6000,16699,1560,3000,1
74,1,1,0,1,0,0,24,1,0,3,3,0,0,1,0,1,0,14360,7800,2760,3800,0,0,1
75,0,0,0,1,0,0,24,1,0,3,3,0,0,1,1,0,0,22260,6240,4680,10300,1040,0,1
76,1,0,0,1,0,0,45,0,1,4,3,1,0,2,0,0,2,5920,5200,120,600,0,0,1
78,1,1,0,1,0,0,43,0,1,5,3,2,0,2,0,1,2,16450,13000,600,2850,0,0,1
81,0,1,1,0,0,0,45,0,1,4,3,1,0,1,0,1,2,16840,10400,5400,0,1040,0,1
83,0,0,0,1,0,0,29,0,1,4,2,1,0,1,0,0,0,4560,3120,60,600,780,1500,1
85,0,0,0,1,0,0,30,0,1,3,2,0,0,1,1,0,1,9660,5200,2400,500,1560,7000,1
89,1,0,1,0,0,0,54,0,1,5,4,1,0,3,1,0,1,3676,2600,36,0,1040,0,1
90,0,0,1,0,0,0,48,0,1,5,4,1,1,1,1,0,1,12860,3120,1200,7500,1040,0,1
91,0,1,0,1,0,0,33,0,1,4,3,1,0,2,0,0,2,11380,5200,3480,2700,0,3000,1
92,1,0,0,1,0,0,41,0,0,3,2,1,0,0,1,0,1,5260,3120,720,120,1300,0,1
94,0,0,1,0,0,0,40,0,1,7,2,5,0,1,0,0,4,2984,1560,240,300,884,0,1
95,1,1,1,0,0,0,42,0,0,6,4,2,0,1,0,0,3,7164,3640,1200,1700,624,0,1
96,0,0,0,1,0,0,45,0,1,5,5,0,1,4,0,1,0,5532,3640,1476,0,416,7000,1
102,1,1,0,1,0,0,22,1,1,3,3,0,0,1,0,1,0,34620,20800,10920,300,2600,0,1
103,0,1,0,1,0,0,26,0,1,4,2,2,0,2,0,0,2,10772,7800,672,2300,0,0,1
